时间,负荷值
533,189.547
534,191.591
535,211.049
536,221.903
537,240.307
538,235.992
539,221.235
540,198.171
541,179.892
542,190.922
543,202.947
544,209.505
545,230.727
546,246.769
547,277.286
548,264.278
549,252.825
550,249.761
551,229.276
552,210.817
553,216.587
554,204.743
555,202.02
556,206.102
557,207.028
558,210.042
559,230.593
560,260.574
561,270.206
562,262.175
563,250.741
564,225.388
565,204.344
566,195.615
567,229.374
568,229.037
569,256.632
570,267.467
571,287.926
572,266.405
573,251.794
574,247.048
575,229.32
576,209.466
577,216.051
578,214.124
579,203.535
580,197.091
581,209.764
582,210.922
583,226.918
584,245.965
585,274.168
586,280.125
587,264.324
588,281.904
589,253.397
590,236.039
591,273.56
592,248.154
593,252.785
594,268.453
595,271.733
596,247.268
597,236.252
598,229.017
599,209.898
600,206.579
601,207.834
602,203.881
603,216.606
604,214.243
605,218.731
606,217.108
607,236.738
608,257.695
609,288.242
610,281.115
611,255.91
612,254.384
613,225.315
614,224.491
615,229.765
616,239.714
617,253.468
618,256.024
619,282.077
620,275.026
621,271.836
622,269.668
623,227.811
624,216.445
625,221.669
626,218.602
627,219.855
628,217.343
629,214.8
630,218.353
631,226.509
632,249.311
633,273.05
634,271.7
635,252.788
636,267.436
637,256.376
638,253.093
639,284.14
640,287.757
641,291.266
642,288.355
643,301.392
644,284.997
645,273.605
646,256.841
647,237.195
648,221.565
649,214.322
650,207.265
651,195.882
652,188.236
653,185.005
654,188.444
655,190.72
656,206.56
657,233.997
658,249.244
659,240.045
660,237.592
661,223.855
662,221.353
663,228.667
664,215.505
665,228.302
666,226.333
667,261.579
668,243.042
669,232.176
670,214.284
671,192.933
672,192.12
673,198.099
674,198.113
675,200.933
676,200.641
677,195.777
678,199.226
679,200.633
680,231.386
681,240.897
682,266.494
683,241.083
684,241.677
685,187.858
686,194.271
687,215.065
688,236.739
689,261.942
690,277.619
691,298.162
692,279.682
693,270.57
694,252.563
695,231.997
696,217.141
697,220.617
698,217.055
699,205.825
700,202.681
701,198.033
702,197.366
703,216.542
704,254.086
705,282.647
706,289.695
707,265.135
708,262.558
709,238.632
710,246.256
711,246.269
712,265.667
713,266.33
714,267.782
715,291.155
716,274.218
717,269.967
718,255.233
719,238.803
720,217.503
721,224.953
722,201.551
723,198.678
724,195.692
725,188.909
726,192.29
727,197.412
728,208.374
729,259.446
730,275.165
731,279.471
732,279.803
733,253.505
734,247.657
735,261.97
736,256.176
737,267.243
738,272.561
739,291.783
740,279.755
741,272.366
742,265.518
743,248.77
744,229.943
745,225.746
746,218.737
747,213.756
748,215.419
749,215.35
750,209.896
751,220.795
752,254.47
753,274.571
754,260.793
755,236.139
756,229.877
757,199.931
758,204.407
759,215.18
760,224.511
761,237.424
762,252.857
763,275.398
764,260.412
765,258.172
766,254.902
767,236.618
768,224.114
769,226.696
770,207.313
771,199.22
772,197.194
773,190.28
774,187.496
775,198.093
776,225.713
777,237.368
778,240.544
779,215.71
780,181.951
781,161.058
782,206.606
783,189.497
784,240.603
785,233.414
786,231.713
787,255.569
788,234.337
789,236.952
790,234.123
791,215.192
792,196.341
793,200.207
794,199.846
795,186.248
796,179.575
797,189.322
798,190.357
799,195.857
800,211.256
801,230.751
802,229.917
803,211.412
804,197.625
805,167.205
806,175.262
807,173.737
808,206.269
809,226.862
810,240.566
811,265.206
812,252.898
813,249.795
814,251.634
815,227.432
816,217.521
817,214.805
818,212.618
819,210.168
820,204.031
821,200.417
822,207.024
823,214.5
824,223.054
825,256.362
826,233.129
827,213.767
828,193.188
829,174.402
830,159.693
831,180.46
832,199.475
833,224.584
834,248.268
835,280.403
836,270.053
837,262.736
838,259.306
839,237.061
840,220.753
841,204.728
842,196.595
843,194.712
844,201.604
845,189.808
846,188.656
847,195.124
848,201.258
849,226.439
850,228.891
851,200.274
852,189.376
853,171.813
854,178.579
855,195.642
856,187.207
857,212.83
858,250.965
859,265.017
860,259.642
861,253.031
862,249.006
863,220.255
864,210.084
865,212.991
866,221.862
867,215.57
868,203.672
869,204.413
870,206.561
871,218.629
872,244.668
873,268.144
874,254.671
875,231.368
876,214.418
877,193.583
878,191.237
879,218.499
880,229.908
881,240.216
882,254.783
883,281.624
884,269.124
885,256.951
886,252.559
887,210.262
888,193.559
889,198.838
890,193.113
891,191.588
892,189.426
893,185.066
894,175.984
895,192.205
896,205.54
897,246.66
898,244.666
899,256.52
900,253.072
901,249.181
902,214.376
903,174.418
904,183.536
905,201.057
906,217.114
907,237.35
908,235.786
909,226.841
910,224.666
911,206.556
912,200.449
913,203.498
914,201.701
915,191.072
916,202.279
917,209.634
918,196.91
919,225.111
920,248.209
921,280.99
922,257.276
923,190.691
924,169.834
925,151.26
926,147.661
927,180.993
928,196.023
929,201.427
930,204.198
931,215.838
932,212.133
933,209.896
934,209.356
935,198.082
936,175.018
937,179.365
938,180.459
939,171.369
940,172.747
941,174.37
942,176.202
943,177.829
944,197.101
945,208.802
946,217.248
947,175.801
948,194.012
949,190.051
950,203.587
951,221.717
952,209.176
953,204.705
954,205.925
955,218.825
956,217.739
957,212.485
958,213.291
959,197.153
960,186.355
961,184.799
962,180.258
963,167.892
964,173.87
965,172.341
966,174.593
967,178.484
968,185.343
969,212.543
970,210.648
971,218.217
972,213.729
973,191.582
974,172.623
975,198.931
976,196.627
977,213.975
978,221.729
979,255.977
980,256.279
981,251.357
982,248.725
983,228.884
984,209.147
985,202.774
986,194.642
987,186.563
988,189.261
989,182.429
990,189.873
991,201.461
992,208.652
993,218.137
994,205.653
995,174.945
996,171.101
997,161.78
998,154.588
999,164.905
1000,173.912
1001,184.788
1002,191.977
1003,215.662
1004,214.115
1005,211.518
1006,226.781
1007,204.581
1008,189.077
1009,176.877
1010,162.549
1011,156.197
1012,159.355
1013,160.817
1014,164.562
1015,162.924
1016,186.075
1017,195.041
1018,180.823
1019,155.165
1020,155.02
1021,152.664
1022,148.093
1023,160.462
1024,154.055
1025,170.643
1026,176.701
1027,220.037
1028,215.581
1029,227.71
1030,227.468
1031,197.999
1032,165.608
1033,154.125
1034,143.362
1035,141.662
1036,153.463
1037,140.759
1038,141.514
1039,145.361
1040,164.477
1041,170.54
1042,166.743
1043,142.484
1044,137.798
1045,139.359
1046,131.058
1047,134.099
1048,136.8
1049,165.169
1050,158.913
1051,184.356
1052,185.927
1053,185.015
1054,178.914
1055,169.055
1056,143.12
1057,134.295
1058,132.561
1059,130.712
1060,126.129
1061,126.452
1062,128.153
1063,130.246
1064,144.334
1065,155.66
1066,148.598
1067,139.59
1068,136.344
1069,148.036
1070,126.392
1071,124.519
1072,127.224
1073,138.898
1074,152.893
1075,181.826
1076,187.422
1077,181.518
1078,197.419
1079,175.237
1080,157.455
1081,153.236
1082,140.514
1083,133.674
1084,128.743
1085,126.584
1086,128.717
1087,130.912
1088,137.063
1089,155.161
1090,125.095
1091,103.578
1092,95.691
1093,110.155
1094,97.746
1095,97.323
1096,103.265
1097,116.065
1098,142.071
1099,180.661
1100,180.614
1101,171.48
1102,167.134
1103,166.735
1104,162.554
1105,158.856
1106,132.263
1107,116.764
1108,112.781
1109,113.479
1110,128.765
1111,141.593
1112,153.485
1113,145.886
1114,128.693
1115,107.474
1116,89.128
1117,86.62
1118,77.993
1119,79.275
1120,86.169
1121,97.889
1122,117.115
1123,149.461
1124,153.295
